"timestamp,pressure_in_kPa,pressure_out_kPa,temperature_in_C,temperature_out_C,valve_opening_percent,energy_kWh,energy_cost_USD"
"2025-01-01 00:00:00,397.7,379.6,8.19,10.96,4.0,0.763,0.092"
"2025-01-01 01:00:00,398.9,382.5,7.49,9.88,1.5,0.433,0.052"
"2025-01-01 02:00:00,397.6,385.2,8.23,11.27,4.6,0.696,0.083"
"2025-01-01 03:00:00,401.5,387.8,9.78,13.56,8.9,0.802,0.096"
"2025-01-01 04:00:00,394.2,383.2,7.78,10.56,17.5,0.452,0.054"
"2025-01-01 05:00:00,393.8,379.1,7.6,11.07,22.2,1.193,0.143"
"2025-01-01 06:00:00,395.8,375.1,9.94,15.0,42.8,3.366,0.404"
"2025-01-01 07:00:00,401.6,374.9,8.49,13.47,50.1,3.795,0.455"
"2025-01-01 08:00:00,400.7,379.4,10.49,16.89,71.9,6.579,0.789"
"2025-01-01 09:00:00,394.8,367.9,11.48,19.44,82.3,9.416,1.13"
"2025-01-01 10:00:00,402.3,367.5,11.35,20.09,91.3,10.681,1.282"
"2025-01-01 11:00:00,403.3,365.0,12.49,20.38,98.8,10.562,1.267"
"2025-01-01 12:00:00,403.1,369.4,11.45,20.42,98.4,11.95,1.434"
"2025-01-01 13:00:00,401.1,369.7,12.67,20.66,84.5,11.076,1.329"
"2025-01-01 14:00:00,397.0,361.3,11.75,19.7,95.2,9.764,1.172"
"2025-01-01 15:00:00,391.4,359.8,10.85,18.56,76.3,8.351,1.002"
"2025-01-01 16:00:00,396.8,372.7,10.39,16.81,67.9,5.872,0.705"
"2025-01-01 17:00:00,403.3,375.8,10.42,16.38,53.4,4.44,0.533"
"2025-01-01 18:00:00,406.5,386.9,9.71,13.75,46.4,2.392,0.287"
"2025-01-01 19:00:00,390.3,373.7,7.63,12.25,14.7,1.609,0.193"
"2025-01-01 20:00:00,399.6,381.4,7.71,10.47,20.6,0.931,0.112"
"2025-01-01 21:00:00,396.9,382.7,7.16,9.88,13.1,0.754,0.09"
"2025-01-01 22:00:00,400.0,385.7,9.67,12.33,6.0,0.61,0.073"
"2025-01-01 23:00:00,401.9,392.4,8.47,12.17,16.2,1.435,0.172"
"2025-01-02 00:00:00,401.7,387.2,7.85,11.53,9.8,0.766,0.092"
"2025-01-02 01:00:00,399.8,388.6,9.39,12.67,14.8,1.248,0.15"
"2025-01-02 02:00:00,394.4,377.5,8.09,11.17,13.3,0.684,0.082"
"2025-01-02 03:00:00,404.4,386.6,9.29,12.28,8.6,0.545,0.065"
"2025-01-02 04:00:00,401.6,387.0,7.17,10.56,14.3,0.717,0.086"
"2025-01-02 05:00:00,399.4,384.3,8.73,11.65,14.5,0.806,0.097"
"2025-01-02 06:00:00,396.8,374.5,8.69,13.54,41.0,2.622,0.315"
"2025-01-02 07:00:00,396.4,366.7,10.84,15.41,53.0,3.789,0.455"
"2025-01-02 08:00:00,402.3,375.6,11.9,19.42,74.1,7.403,0.888"
"2025-01-02 09:00:00,399.0,371.7,12.44,19.32,81.6,8.449,1.014"
"2025-01-02 10:00:00,407.6,373.8,12.07,19.34,95.6,8.986,1.078"
"2025-01-02 11:00:00,400.4,368.0,12.05,20.1,100.0,10.078,1.209"
"2025-01-02 12:00:00,397.6,361.0,11.37,20.46,100.0,12.281,1.474"
"2025-01-02 13:00:00,398.1,357.7,13.11,20.37,97.7,10.018,1.202"
"2025-01-02 14:00:00,395.1,359.8,12.65,20.72,97.1,9.685,1.162"
"2025-01-02 15:00:00,405.1,371.5,10.78,16.41,78.6,6.536,0.784"
"2025-01-02 16:00:00,404.7,377.7,11.98,19.21,74.0,6.871,0.824"
"2025-01-02 17:00:00,392.7,364.3,10.09,14.48,58.0,3.429,0.411"
"2025-01-02 18:00:00,398.7,381.9,9.77,14.46,35.3,2.673,0.321"
"2025-01-02 19:00:00,400.4,376.8,7.92,9.92,22.2,0.694,0.083"
"2025-01-02 20:00:00,400.5,383.4,7.95,10.09,4.8,0.658,0.079"
"2025-01-02 21:00:00,405.3,390.2,6.77,9.74,9.4,0.647,0.078"
"2025-01-02 22:00:00,399.1,381.0,6.81,8.81,10.4,0.31,0.037"
"2025-01-02 23:00:00,403.0,384.1,9.69,12.14,14.3,0.476,0.057"
"2025-01-03 00:00:00,401.7,387.9,6.23,8.77,12.6,0.721,0.087"
"2025-01-03 01:00:00,397.2,384.3,7.7,9.75,8.4,0.617,0.074"
"2025-01-03 02:00:00,400.3,381.6,7.51,11.73,7.1,0.794,0.095"
"2025-01-03 03:00:00,394.9,378.6,7.67,12.27,7.4,0.867,0.104"
"2025-01-03 04:00:00,399.2,385.7,7.6,12.59,6.6,1.11,0.133"
"2025-01-03 05:00:00,406.9,389.3,9.04,12.48,28.1,0.743,0.089"
"2025-01-03 06:00:00,405.3,385.2,9.24,13.33,36.7,2.197,0.264"
"2025-01-03 07:00:00,399.8,376.1,8.2,13.33,50.9,4.236,0.508"
"2025-01-03 08:00:00,405.0,383.8,9.78,16.12,61.2,5.659,0.679"
"2025-01-03 09:00:00,399.4,370.0,10.73,17.85,86.8,8.205,0.985"
"2025-01-03 10:00:00,408.0,379.9,11.9,19.49,94.2,9.807,1.177"
"2025-01-03 11:00:00,393.7,355.3,9.97,18.0,97.9,11.008,1.321"
"2025-01-03 12:00:00,401.6,371.8,12.32,19.44,100.0,9.514,1.142"
"2025-01-03 13:00:00,401.8,369.1,11.19,20.32,100.0,12.155,1.459"
"2025-01-03 14:00:00,398.0,363.6,9.38,17.44,89.6,9.502,1.14"
"2025-01-03 15:00:00,399.1,372.9,11.06,17.96,78.0,7.987,0.958"
"2025-01-03 16:00:00,401.1,376.2,11.11,18.22,68.9,6.789,0.815"
"2025-01-03 17:00:00,395.0,373.6,8.76,13.24,61.6,3.62,0.434"
"2025-01-03 18:00:00,394.9,373.8,9.13,13.43,40.3,2.41,0.289"
"2025-01-03 19:00:00,403.4,380.6,8.46,10.88,26.1,0.704,0.084"
"2025-01-03 20:00:00,401.5,385.2,8.62,11.76,18.1,0.511,0.061"
"2025-01-03 21:00:00,404.0,391.5,7.22,9.62,9.7,0.455,0.055"
"2025-01-03 22:00:00,397.3,378.0,8.41,11.29,1.2,0.509,0.061"
"2025-01-03 23:00:00,396.1,381.8,7.8,10.68,2.8,0.721,0.087"
"2025-01-04 00:00:00,399.7,382.9,8.2,11.3,9.0,0.971,0.117"
"2025-01-04 01:00:00,407.0,394.5,8.94,12.21,12.8,0.656,0.079"
"2025-01-04 02:00:00,400.4,382.8,8.25,10.96,3.6,0.537,0.064"
"2025-01-04 03:00:00,399.2,383.1,7.06,10.26,10.9,0.499,0.06"
"2025-01-04 04:00:00,396.1,383.3,9.46,13.84,6.8,1.009,0.121"
"2025-01-04 05:00:00,401.8,386.0,9.16,13.51,22.2,1.556,0.187"
"2025-01-04 06:00:00,399.8,381.1,8.84,13.04,29.6,2.104,0.252"
"2025-01-04 07:00:00,405.4,379.7,10.04,14.28,61.5,3.762,0.451"
"2025-01-04 08:00:00,396.8,369.5,9.21,16.31,63.7,6.766,0.812"
"2025-01-04 09:00:00,397.2,367.0,10.88,18.39,79.9,9.089,1.091"
"2025-01-04 10:00:00,400.0,363.8,11.36,18.85,96.6,10.15,1.218"
"2025-01-04 11:00:00,400.2,368.1,12.07,19.86,100.0,10.933,1.312"
"2025-01-04 12:00:00,400.1,362.8,11.74,19.11,100.0,11.224,1.347"
"2025-01-04 13:00:00,405.4,374.8,11.59,19.15,100.0,10.292,1.235"
"2025-01-04 14:00:00,409.0,375.6,11.81,19.56,86.5,10.083,1.21"
"2025-01-04 15:00:00,395.6,364.0,12.08,19.42,82.0,8.355,1.003"
"2025-01-04 16:00:00,406.0,379.7,11.74,18.69,71.8,6.791,0.815"
"2025-01-04 17:00:00,403.8,382.6,10.21,14.98,58.3,3.748,0.45"
"2025-01-04 18:00:00,402.1,387.2,9.8,13.56,44.7,2.216,0.266"
"2025-01-04 19:00:00,400.5,388.7,8.19,11.12,15.6,1.013,0.122"
"2025-01-04 20:00:00,398.2,381.1,7.98,10.93,7.3,0.474,0.057"
"2025-01-04 21:00:00,402.0,390.5,8.57,12.36,11.4,1.183,0.142"
"2025-01-04 22:00:00,403.8,388.4,8.07,11.03,6.6,0.668,0.08"
"2025-01-04 23:00:00,403.5,391.9,8.45,11.26,7.1,0.692,0.083"
"2025-01-05 00:00:00,403.2,385.8,8.01,10.01,1.9,0.37,0.044"
"2025-01-05 01:00:00,397.0,382.2,7.73,10.24,16.4,0.738,0.089"
"2025-01-05 02:00:00,395.9,382.6,7.55,10.3,11.3,0.996,0.12"
"2025-01-05 03:00:00,392.1,379.2,7.67,10.79,10.2,0.362,0.043"
"2025-01-05 04:00:00,402.1,388.8,7.67,10.26,7.0,0.301,0.036"
"2025-01-05 05:00:00,390.4,377.3,9.43,13.27,26.8,1.629,0.195"
"2025-01-05 06:00:00,400.3,377.7,9.11,15.01,39.6,3.226,0.387"
"2025-01-05 07:00:00,397.4,366.8,9.64,15.41,56.9,4.648,0.558"
"2025-01-05 08:00:00,400.8,371.7,10.38,15.84,69.1,5.247,0.63"
"2025-01-05 09:00:00,400.9,369.3,10.31,18.49,92.7,9.562,1.147"
"2025-01-05 10:00:00,405.6,368.1,9.99,17.31,96.4,10.244,1.229"
"2025-01-05 11:00:00,394.7,360.6,10.78,18.84,95.2,11.412,1.369"
"2025-01-05 12:00:00,392.5,359.3,11.65,18.9,100.0,9.76,1.171"
"2025-01-05 13:00:00,400.3,364.3,12.2,20.78,92.4,11.795,1.415"
"2025-01-05 14:00:00,397.0,364.7,10.92,19.11,91.0,10.344,1.241"
"2025-01-05 15:00:00,398.5,369.2,11.0,18.62,84.9,9.255,1.111"
"2025-01-05 16:00:00,389.7,360.2,10.78,16.2,73.5,5.474,0.657"
"2025-01-05 17:00:00,397.9,375.9,10.07,14.73,55.4,3.668,0.44"
"2025-01-05 18:00:00,412.7,390.9,8.68,12.11,31.6,1.948,0.234"
"2025-01-05 19:00:00,400.9,388.9,8.65,12.18,21.6,1.249,0.15"
"2025-01-05 20:00:00,407.6,389.7,9.26,11.26,13.1,0.639,0.077"
"2025-01-05 21:00:00,402.3,393.1,8.06,10.55,17.3,0.289,0.035"
"2025-01-05 22:00:00,395.9,383.4,9.14,11.32,9.1,0.719,0.086"
"2025-01-05 23:00:00,406.9,393.2,9.53,13.44,2.5,1.051,0.126"
"2025-01-06 00:00:00,405.9,390.1,8.22,11.48,11.9,0.858,0.103"
"2025-01-06 01:00:00,401.4,380.0,7.07,10.75,5.9,0.75,0.09"
"2025-01-06 02:00:00,403.4,386.9,8.36,10.42,8.1,0.295,0.035"
"2025-01-06 03:00:00,407.2,390.9,7.44,9.73,3.2,0.632,0.076"
"2025-01-06 04:00:00,404.8,387.7,7.97,9.97,8.3,0.555,0.067"
"2025-01-06 05:00:00,403.8,390.0,8.77,13.54,19.8,1.74,0.209"
"2025-01-06 06:00:00,406.4,381.4,9.61,13.63,38.4,2.291,0.275"
"2025-01-06 07:00:00,397.3,371.8,10.1,16.22,63.7,4.815,0.578"
"2025-01-06 08:00:00,390.9,364.8,10.43,17.72,68.7,7.226,0.867"
"2025-01-06 09:00:00,398.5,362.2,11.62,18.07,85.9,6.972,0.837"
"2025-01-06 10:00:00,396.3,363.2,12.33,19.7,95.3,8.763,1.052"
"2025-01-06 11:00:00,399.9,366.8,12.46,19.24,95.9,9.915,1.19"
"2025-01-06 12:00:00,402.1,363.4,11.79,20.76,100.0,12.572,1.509"
"2025-01-06 13:00:00,403.2,369.5,11.89,20.2,96.4,11.227,1.347"
"2025-01-06 14:00:00,404.4,372.1,12.25,20.39,95.7,10.101,1.212"
"2025-01-06 15:00:00,396.5,365.2,11.21,18.7,92.2,8.155,0.979"
"2025-01-06 16:00:00,400.7,370.5,10.48,17.45,71.1,6.645,0.797"
"2025-01-06 17:00:00,403.9,380.2,10.28,15.47,40.9,3.66,0.439"
"2025-01-06 18:00:00,403.2,378.1,7.77,11.55,43.2,2.273,0.273"
"2025-01-06 19:00:00,405.0,391.1,9.11,12.63,20.4,1.16,0.139"
"2025-01-06 20:00:00,402.6,389.8,7.43,11.17,1.5,0.867,0.104"
"2025-01-06 21:00:00,395.1,382.9,8.82,11.66,12.4,0.93,0.112"
"2025-01-06 22:00:00,406.7,393.3,9.22,11.22,7.0,0.389,0.047"
"2025-01-06 23:00:00,402.5,388.0,7.99,11.17,10.6,0.708,0.085"
"2025-01-07 00:00:00,401.7,386.4,9.51,11.72,14.5,0.553,0.066"
"2025-01-07 01:00:00,405.1,395.3,7.39,10.21,0.2,0.512,0.061"
"2025-01-07 02:00:00,406.0,389.6,6.83,9.98,10.1,0.569,0.068"
"2025-01-07 03:00:00,403.4,387.3,7.97,10.77,8.0,0.74,0.089"
"2025-01-07 04:00:00,399.6,386.3,7.47,10.1,16.1,0.607,0.073"
"2025-01-07 05:00:00,395.7,383.2,9.78,14.49,17.4,1.782,0.214"
"2025-01-07 06:00:00,397.2,372.2,10.32,15.44,39.4,2.685,0.322"
"2025-01-07 07:00:00,400.0,378.9,9.6,14.81,52.0,4.371,0.524"
"2025-01-07 08:00:00,400.8,372.2,10.23,16.56,77.5,6.35,0.762"
"2025-01-07 09:00:00,391.3,363.2,11.31,18.46,71.2,8.414,1.01"
"2025-01-07 10:00:00,404.6,373.7,10.7,19.37,82.8,11.971,1.436"
"2025-01-07 11:00:00,406.3,376.2,12.36,19.85,100.0,10.635,1.276"
"2025-01-07 12:00:00,403.5,364.2,11.47,19.28,98.0,10.771,1.293"
"2025-01-07 13:00:00,396.9,364.3,11.87,20.88,100.0,12.247,1.47"
"2025-01-07 14:00:00,399.2,364.8,11.75,19.94,96.9,11.427,1.371"
"2025-01-07 15:00:00,396.3,366.1,13.24,20.51,77.3,8.443,1.013"
"2025-01-07 16:00:00,408.0,377.4,11.51,18.21,70.8,6.992,0.839"
"2025-01-07 17:00:00,404.2,374.4,10.5,16.57,46.5,4.686,0.562"
"2025-01-07 18:00:00,401.9,383.5,8.96,13.75,34.4,2.753,0.33"
"2025-01-07 19:00:00,397.0,376.8,8.43,12.55,19.1,1.031,0.124"
"2025-01-07 20:00:00,396.5,379.9,9.66,13.16,15.0,0.808,0.097"
"2025-01-07 21:00:00,397.6,383.2,7.34,9.92,15.1,0.671,0.081"
"2025-01-07 22:00:00,398.1,384.8,8.17,11.59,10.5,1.153,0.138"
"2025-01-07 23:00:00,396.2,380.2,7.57,11.18,10.1,0.778,0.093"
"2025-01-08 00:00:00,389.5,374.4,7.03,9.67,6.5,0.327,0.039"
"2025-01-08 01:00:00,407.0,392.0,8.81,12.62,10.2,0.998,0.12"
"2025-01-08 02:00:00,396.3,380.8,7.81,11.12,8.8,0.879,0.105"
"2025-01-08 03:00:00,394.5,378.3,8.16,10.39,10.1,0.276,0.033"
"2025-01-08 04:00:00,399.9,384.3,9.24,12.47,6.8,0.777,0.093"
"2025-01-08 05:00:00,395.2,375.5,9.1,12.63,24.8,1.463,0.176"
"2025-01-08 06:00:00,397.6,373.2,11.09,14.98,37.1,2.168,0.26"
"2025-01-08 07:00:00,398.3,374.6,10.04,16.09,52.9,4.639,0.557"
"2025-01-08 08:00:00,391.7,367.1,10.59,15.53,66.0,5.092,0.611"
"2025-01-08 09:00:00,401.3,374.8,10.93,17.26,78.8,7.515,0.902"
"2025-01-08 10:00:00,410.3,379.2,11.81,19.92,100.0,10.872,1.305"
